"A customer with the same email already exists in an associated website.","Un cliente con el mismo correo electrónico ya existe en un sitio web asociado."
"About us","Sobre nosotros"
"Add a discount code","Agregar un código de descuento"
"Add discount code","Solicitar"
"Add to cart","Añadir a la cesta"
"Add to compare","Añadir a comparar"
"Add to favorite","Agregar a Favoritos"
"Additional Information","Información Adicional"
"Amount","Monto"
"Allow notification about the order","Permitir notificación sobre el pedido"
"Are you sure you would like to remove all the items from the shopping cart?","¿Está seguro de que desea eliminar todos los artículos del carrito de compras?"
"Are you sure you would like to remove all the items from the wishlist?","¿Está seguro de que desea eliminar todos los elementos de la lista de deseos?"
"Author","Autor"
"Authorization in progress ...","Autorización en progreso ..."
"Back to login","Atrás para iniciar sesión"
"Back","Atras"
"Billing address","Dirección de Envio"
"Cancel","Cancelar"
"Cash on delivery","Efectivo al Entregar"
"Categories","Categorías"
"Change my password","Cambiar mi contraseña"
"Changed your mind?","Cambiaste de opinión?"
"Choose your country","Elige tu país"
"City *","Ciudad *"
"City","Ciudad"
"Clear all","Limpiar todo"
"Clear cart","Vaciar carrito"
"Clear filters","Filtros claros"
"Clear wishlist","Borrar lista de deseos"
"Clear","Limpiar"
"Close","Cerrar"
"Cms Page Sync","Sincronización de página Cms"
"Colour","Color"
"Columns","Columnas"
"Company name *","Nombre de Empresa *"
"Company name","Nombre de Empresa"
"Compare products","Comparar productos"
"Confirm your order","Confirma tu Orden"
"Contact us","Contáctenos"
"Continue to payment","Continuar con el pago"
"Continue to shipping","Continuar con el envío"
"Copy address data from shipping","Copie los datos de la dirección del envío"
"Country *","País *"
"Country","País"
"Create a new account","Crear una cuenta nueva"
"Current password *","Contraseña actual *"
"Custom Cms Page","Página de Cms personalizada"
"Customer service (Magento CMS)","Servicio al cliente (Magento CMS)"
"Customer service","Servicio al cliente"
"DPD Courier","Agencia de Envio"
"Date and time","Fecha y hora"
"Delivery","Entrega"
"Departments","Departamentos"
"Description","Descripción"
"Discount code","Código de descuento"
"Discount","Descuento"
"Don't hesitate and","No lo dudes y"
"Done","Hecho"
"View all","Ver todo"
"Clear all","Limpiar todo"
"E-mail address *","Dirección de correo electrónico *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Envíenos un correo electrónico a <b>info@erpya.com</b> con cualquier pregunta, detalle y sugerencia de cómo podríamos mejorar los productos o la experiencia de compra"
"Earn credits with every purchase","Gane créditos con cada compra"
"Easy shipping","Envío fácil"
"Edit newsletter preferences","Editar las preferencias del boletín"
"Edit payment","Editar pago"
"Edit personal details","Editar detalles personales"
"Edit shipping","Editar envío"
"Edit your profile","Edite su perfil"
"Edit your shipping details","Edite sus detalles de envío"
"Edit","Editar"
"Email address *","Dirección de correo electrónico *"
"Email address","Dirección de correo electrónico"
"English","Ingles"
"Enjoy these perks with your free account!","Disfrute de estas ventajas con su cuenta gratuita!"
"Enter your email to receive instructions on how to reset your password.","Ingrese su correo electrónico para recibir instrucciones sobre cómo restablecer su contraseña."
"Erin recommends","Erin recomienda"
"Error while sending reset password e-mail","Error al enviar el correo electrónico para el restablecimiento de contraseña"
"Everything new","Todo nuevo"
"Extension developers would like to thank you for placing an order!","Los desarrolladores de extensiones quieren agradecerle que haya hecho un pedido."
"Faster checkout","Pago más rápido"
"Field is required","El campo es requerido"
"Filter by categories","Filtrar por categorías"
"Filter","Filtro"
"Filters","Filtros"
"First name *","Nombre *"
"First name","Nombre"
"Forgot the password?","Olvidaste la contraseña?"
"Full rewards program benefits","Todas las ventajas del programa de recompensas"
"General agreement","Acuerdo General"
"German","Alemán"
"Germany","Alemania"
"Get inspired","Inspírate"
"Give a feedback","Dar una respuesta"
"Go review the order","Revisa la orden"
"Go to Facebook","Ir a Facebook"
"Go to Instagram","Ir a Instagram"
"Go to Pinterest","Ir a Pinterest"
"Go to Youtube","Ir a Youtube"
"Go to checkout","Ir a pagar"
"Help","Ayuda"
"Hide products","Ocultar productos"
"Home","Inicio"
"House/Apartment number *","Número de casa/apartamento *"
"House/Apartment number","Número de casa/apartamento"
"I accept ","Acepto "
"Company name *","Nombre de empresa *"
"I accept terms and conditions","Acepto los términos y condiciones"
"I agree to","Estoy de acuerdo con"
"I have a company and want to receive an invoice for every order","Tengo una empresa y quiero recibir una factura por cada pedido"
"I want to create an account","Quiero crear una cuenta"
"I want to create an account'","Quiero crear una cuenta'"
"I want to generate an invoice for the company","Quiero generar una factura para la empresa"
